php search_program.php data "tourism in california" bm25 none 0.2



Notice: Constant seekquarry\yioop\configs\PROFILE already defined in /opt/dev/php_projects/cs267_hw3/vendor/seekquarry/yioop/src/configs/Config.php on line 87
(16,4.3383981960223)
(9,4.228980984121)
(2,4.1832686305346)
(6,4.1756207995187)
(11,4.1119853685235)
(12,4.1119853685235)
(15,3.8590857870258)
(5,3.3811310512329)
(14,3.2341943409225)
(10,3.1873104101408)
(8,2.8623891601816)
(3,2.5267769379906)
(42,2.4860882869984)
(60,1.9023368331316)
(13,1.2612260367583)
(28,1.2586862971644)
(26,1.2475546848808)
(27,1.2375593094171)
(19,1.2341341488889)
(25,1.2268960489252)
(32,1.2239751677261)
(34,1.2189514841681)
(18,1.2186077670805)
(30,1.2009789317573)
(33,1.2001437979446)
(20,1.1982735291816)
(31,1.1865230322186)
(21,1.1861157552073)
(23,1.1861157552073)
(22,1.185632932549)
(24,1.185632932549)
(7,1.182703467039)
(17,1.1620095470646)
(1,1.1508625831266)
(35,1.1121866388491)
(29,1.0915644102158)
(58,0.78984548879521)
(69,0.72956161688455)
(64,0.70946178800924)
(39,0.69287073924166)
(48,0.62931385819339)
(54,0.60190771988841)
(41,0.52342909357571)
(4,0.51129721717886)
(72,0.47408283425454)
(89,0.46864394470608)
(59,0.037024280091914)
(71,0.037006417026938)
(38,0.036941320604291)
(74,0.036809599074338)
(90,0.036773292360302)
(55,0.03675636126734)
(82,0.03674952335417)
(44,0.036696924366691)
(40,0.03667101059041)
(36,0.03644594819578)
(50,0.03635133516343)
(52,0.036307389363148)
(66,0.036271317530117)
(49,0.036258335760163)
(77,0.036254609936566)
(86,0.036248533713236)
(68,0.036176617055707)
(45,0.036132282810443)
(43,0.036125721866501)
(46,0.036094201481062)
(91,0.036005887269463)
(89,0.035914592519102)
(80,0.035755331308609)
(67,0.035683826264848)
(73,0.035521736288639)
(88,0.035521539938134)
(87,0.035338306638663)
(47,0.035301184039302)
(62,0.035290229402334)
(60,0.035256035179725)
(84,0.03515123657519)
(56,0.035006834755929)
(61,0.034929506431876)
(92,0.034915550003795)
(65,0.034879888023808)
(81,0.034586613277124)
(51,0.0345443955462)
(85,0.034465079674176)
(37,0.034187875270292)
(63,0.034033371765714)
(76,0.032612097850019)
(75,0.03242410000697)
(70,0.03241598479197)
(79,0.032356115958335)
(53,0.032085540138165)
(83,0.03195285713246)
(78,0.030475273925102)
